region,rank,division,summonerName,win,lose,winRatio,DorF,winRatio_By_100
eun1,CHALLENGER,-,mid useless uwu,245,176,0.5819,2,58.19
eun1,CHALLENGER,-,Túróstészta,157,129,0.549,2,54.900000000000006
eun1,CHALLENGER,-,Tökgyalu,174,145,0.5455,2,54.55
eun1,CHALLENGER,-,490,145,118,0.5513,2,55.13
eun1,CHALLENGER,-,hi im Nekro,247,153,0.6175,2,61.75000000000001
eun1,CHALLENGER,-,H2P Gucio,168,139,0.5472,2,54.72
eun1,CHALLENGER,-,Ðžejno,205,155,0.5694,2,56.940000000000005
eun1,CHALLENGER,-,Max420360,356,268,0.5705,2,57.05
eun1,CHALLENGER,-,Worthless,93,79,0.5407,2,54.06999999999999
eun1,CHALLENGER,-,berryrasp,479,408,0.54,2,54.0
eun1,CHALLENGER,-,FBI OPEN BOTLANE,226,199,0.5318,2,53.18000000000001
eun1,CHALLENGER,-,Ambis,571,530,0.5186,2,51.85999999999999
eun1,CHALLENGER,-,Trap40,282,238,0.5423,1,54.230000000000004
eun1,CHALLENGER,-,Siriαss,149,117,0.5602,2,56.02
eun1,CHALLENGER,-,PooEyedCripple,151,112,0.5741,2,57.410000000000004
eun1,CHALLENGER,-,Chad on labs,738,677,0.5216,2,52.16
eun1,CHALLENGER,-,shizeR31,194,156,0.5543,1,55.43
eun1,CHALLENGER,-,Last Remnant,284,253,0.5289,1,52.89
eun1,CHALLENGER,-,Araysh,318,272,0.539,2,53.900000000000006
eun1,CHALLENGER,-,Cougar Abuser,292,262,0.5271,2,52.71
eun1,CHALLENGER,-,K9 NaNa,340,285,0.544,2,54.400000000000006
eun1,CHALLENGER,-,Carry Only,225,194,0.537,2,53.7
eun1,CHALLENGER,-,Dodge Zalech23,207,177,0.5391,2,53.910000000000004
eun1,CHALLENGER,-,TryToStopMeee,486,455,0.5165,1,51.65
eun1,CHALLENGER,-,Catstyle,269,230,0.5391,1,53.910000000000004
eun1,CHALLENGER,-,Shenfa,110,78,0.5851,2,58.51
eun1,CHALLENGER,-,Samael,288,240,0.5455,2,54.55
eun1,CHALLENGER,-,Sir helpalot,220,174,0.5584,2,55.84
eun1,CHALLENGER,-,Mrož,275,244,0.5299,1,52.99
eun1,CHALLENGER,-,I am Sobek,396,334,0.5425,2,54.25
eun1,CHALLENGER,-,Wejker1,238,186,0.5613,2,56.13
eun1,CHALLENGER,-,MkdPro123,196,172,0.5326,2,53.26
eun1,CHALLENGER,-,Szafer,192,161,0.5439,2,54.39000000000001
eun1,CHALLENGER,-,Coatpustmain,236,172,0.5784,1,57.84
eun1,CHALLENGER,-,Aggress1on,312,275,0.5315,1,53.15
eun1,CHALLENGER,-,Camelott,249,217,0.5343,2,53.43
eun1,CHALLENGER,-,Pintek,259,226,0.534,1,53.400000000000006
eun1,CHALLENGER,-,Vinmorr,175,122,0.5892,1,58.919999999999995
eun1,CHALLENGER,-,Audire,261,228,0.5337,2,53.37
eun1,CHALLENGER,-,IzyQ es,278,195,0.5877,2,58.77
eun1,CHALLENGER,-,Zserap,229,190,0.5465,2,54.65
eun1,CHALLENGER,-,xterminatorul,268,211,0.5595,1,55.95
eun1,CHALLENGER,-,Askarek,269,244,0.5244,1,52.44
eun1,CHALLENGER,-,Razwen,342,264,0.5644,1,56.44
eun1,CHALLENGER,-,lukuluku,349,311,0.5288,2,52.88
eun1,CHALLENGER,-,OdieCP,223,189,0.5413,2,54.13
eun1,CHALLENGER,-,MyTimeToBard,392,345,0.5319,1,53.190000000000005
eun1,CHALLENGER,-,ANIA KMWTW PL 69,158,138,0.5338,1,53.38
eun1,CHALLENGER,-,Spyware,194,170,0.533,1,53.300000000000004
eun1,CHALLENGER,-,Mr Senuai,227,170,0.5718,2,57.18
eun1,CHALLENGER,-,Sumi,344,321,0.5173,2,51.73
eun1,CHALLENGER,-,Life of Moe,457,388,0.5408,2,54.08
eun1,CHALLENGER,-,Sρiritless,300,259,0.5367,2,53.669999999999995
eun1,CHALLENGER,-,CSU ASE Croi,186,152,0.5503,1,55.03
eun1,CHALLENGER,-,Maciuś lat 8,192,163,0.5408,2,54.08
eun1,CHALLENGER,-,Martïn,176,132,0.5714,2,57.14
eun1,CHALLENGER,-,ÍDDQD,193,144,0.5727,1,57.269999999999996
eun1,CHALLENGER,-,pitaya,154,116,0.5704,1,57.04
eun1,CHALLENGER,-,TSM khalid,270,223,0.5477,2,54.769999999999996
eun1,CHALLENGER,-,Narrovv,309,269,0.5346,2,53.459999999999994
eun1,CHALLENGER,-,God King Yassuo,197,151,0.5661,2,56.61000000000001
eun1,CHALLENGER,-,peťo cmorik,244,178,0.5782,2,57.82000000000001
eun1,CHALLENGER,-,Venom Dei,531,470,0.5305,2,53.05
eun1,CHALLENGER,-,Omorí,276,242,0.5328,2,53.28000000000001
eun1,CHALLENGER,-,badcrit,223,172,0.5646,2,56.46
eun1,CHALLENGER,-,Calert,660,626,0.5132,1,51.32
eun1,CHALLENGER,-,Perma Ban Kayle,232,186,0.555,1,55.50000000000001
eun1,CHALLENGER,-,Buu,158,140,0.5302,2,53.02
eun1,CHALLENGER,-,cinca,209,143,0.5938,2,59.38
eun1,CHALLENGER,-,WindbreakerXD,274,193,0.5867,2,58.67
eun1,CHALLENGER,-,OTPYasuo55,467,441,0.5143,2,51.43
eun1,CHALLENGER,-,Igor Joda,173,122,0.5864,1,58.64
eun1,CHALLENGER,-,IVameless,340,239,0.5872,2,58.720000000000006
eun1,CHALLENGER,-,BeautyAndABeast,287,213,0.574,2,57.4
eun1,CHALLENGER,-,iga,263,198,0.5705,1,57.05
eun1,CHALLENGER,-,IddeWARRIOR,456,416,0.5229,2,52.290000000000006
eun1,CHALLENGER,-,neko mommy,185,142,0.5657,2,56.57
eun1,CHALLENGER,-,Hobbi,141,103,0.5779,2,57.79
eun1,CHALLENGER,-,tall and hot,122,80,0.604,2,60.4
eun1,CHALLENGER,-,Juhis,141,95,0.5975,1,59.75
eun1,GRANDMASTER,-,Federals1,364,349,0.5105,2,51.05
eun1,GRANDMASTER,-,TTV KiF1a,297,271,0.5229,2,52.290000000000006
eun1,GRANDMASTER,-,Globbi,255,229,0.5269,1,52.690000000000005
eun1,GRANDMASTER,-,Picmic,606,565,0.5175,2,51.74999999999999
eun1,GRANDMASTER,-,Endlave,184,155,0.5428,1,54.279999999999994
eun1,GRANDMASTER,-,Prolom voda,384,357,0.5182,2,51.82
eun1,GRANDMASTER,-,Niepozorny,426,358,0.5434,2,54.339999999999996
eun1,GRANDMASTER,-,nealses,102,77,0.5698,2,56.98
eun1,GRANDMASTER,-,snowghost,222,167,0.5707,2,57.07
eun1,GRANDMASTER,-,pIs enjoy game,224,182,0.5517,2,55.169999999999995
eun1,GRANDMASTER,-,Hauzen,234,206,0.5318,1,53.18000000000001
eun1,GRANDMASTER,-,Groni,103,77,0.5722,2,57.220000000000006
eun1,GRANDMASTER,-,Carnarius v2,423,379,0.5274,2,52.739999999999995
eun1,GRANDMASTER,-,Vac TheLstHope,283,257,0.5241,2,52.410000000000004
eun1,GRANDMASTER,-,Challenger Brain,335,313,0.517,2,51.7
eun1,GRANDMASTER,-,M Α D N Ε S S,806,704,0.5338,2,53.38
eun1,GRANDMASTER,-,is this gosu,652,584,0.5275,1,52.75
eun1,GRANDMASTER,-,Truff,245,225,0.5213,2,52.129999999999995
eun1,GRANDMASTER,-,Rashovsky,350,316,0.5255,2,52.55
eun1,GRANDMASTER,-,alexmanz fanboy,451,405,0.5269,2,52.690000000000005
eun1,GRANDMASTER,-,HarassWomenAt3AM,345,266,0.5646,2,56.46
eun1,GRANDMASTER,-,EEMMIILL,193,155,0.5546,2,55.46
eun1,GRANDMASTER,-,Cvetelina UwU,125,93,0.5734,2,57.34
eun1,GRANDMASTER,-,HellBound v2,218,172,0.559,1,55.900000000000006
eun1,GRANDMASTER,-,MatoLUL,356,337,0.5137,2,51.370000000000005
eun1,GRANDMASTER,-,stackéd,254,220,0.5359,1,53.59
eun1,GRANDMASTER,-,Divine Axe,599,582,0.5072,1,50.72
eun1,GRANDMASTER,-,Fastest gun,265,267,0.4981,2,49.81
eun1,GRANDMASTER,-,Huberţ,180,158,0.5325,2,53.25
eun1,GRANDMASTER,-,Lettu,257,235,0.5224,2,52.239999999999995
eun1,GRANDMASTER,-,Suchyy,498,448,0.5264,1,52.64
eun1,GRANDMASTER,-,DCT01,520,485,0.5174,1,51.739999999999995
eun1,GRANDMASTER,-,KoaΙaQ,252,228,0.525,2,52.5
eun1,GRANDMASTER,-,Feyn25,300,240,0.5556,2,55.559999999999995
eun1,GRANDMASTER,-,Vxin Vinleous,149,116,0.5623,2,56.230000000000004
eun1,GRANDMASTER,-,VHeroes,175,150,0.5385,2,53.849999999999994
eun1,GRANDMASTER,-,Skeilei,218,204,0.5166,1,51.66
eun1,GRANDMASTER,-,French Jungler,431,423,0.5047,2,50.470000000000006
eun1,GRANDMASTER,-,CSP Fredy,267,217,0.5517,2,55.169999999999995
eun1,GRANDMASTER,-,DrBüyi,207,192,0.5188,1,51.88
eun1,GRANDMASTER,-,NeverUseCondom,282,247,0.5331,2,53.31
eun1,GRANDMASTER,-,ironwalle,413,331,0.5551,2,55.510000000000005
eun1,GRANDMASTER,-,ˇSung Jin Wooˇ,310,277,0.5281,1,52.81
eun1,GRANDMASTER,-,DefinitlyMaybe,168,138,0.549,1,54.900000000000006
eun1,GRANDMASTER,-,Hilli,201,168,0.5447,2,54.47
eun1,GRANDMASTER,-,lavishzzz,369,343,0.5183,1,51.83
eun1,GRANDMASTER,-,kuchtik29,450,405,0.5263,2,52.629999999999995
eun1,GRANDMASTER,-,Tyexus,228,206,0.5253,1,52.53
eun1,GRANDMASTER,-,Pönä Pitkäniemi,297,281,0.5138,2,51.38
eun1,GRANDMASTER,-,Šţêřôíď Łîżåřď,174,116,0.6,1,60.0
eun1,GRANDMASTER,-,Bitie,604,571,0.514,1,51.4
eun1,GRANDMASTER,-,Thiukis,911,890,0.5058,1,50.580000000000005
eun1,GRANDMASTER,-,kwgrzyb,223,188,0.5426,2,54.26
eun1,GRANDMASTER,-,fuksa sa vukom,500,432,0.5365,1,53.65
eun1,GRANDMASTER,-,Kaikoxi,247,226,0.5222,2,52.22
eun1,GRANDMASTER,-,Radular,515,463,0.5266,1,52.66
eun1,GRANDMASTER,-,Michuny,311,287,0.5201,1,52.01
eun1,GRANDMASTER,-,Shello,182,160,0.5322,1,53.22
eun1,GRANDMASTER,-,Cosmin,269,255,0.5134,2,51.339999999999996
eun1,GRANDMASTER,-,PATYS XD,205,146,0.584,1,58.4
eun1,GRANDMASTER,-,The cat,544,547,0.4986,2,49.86
eun1,GRANDMASTER,-,Cristuś,169,138,0.5505,2,55.05
eun1,GRANDMASTER,-,Abusive,247,235,0.5124,2,51.239999999999995
eun1,GRANDMASTER,-,Adaxe ,315,265,0.5431,2,54.31
eun1,GRANDMASTER,-,lövhögen,72,56,0.5625,2,56.25
eun1,GRANDMASTER,-,CroNus007,285,283,0.5018,2,50.18
eun1,GRANDMASTER,-,Athàm,163,142,0.5344,1,53.44
eun1,GRANDMASTER,-,Comet Spear,266,205,0.5648,1,56.48
eun1,GRANDMASTER,-,fish with tits,324,293,0.5251,1,52.51
eun1,GRANDMASTER,-,Kãtãriną,223,186,0.5452,2,54.52
eun1,GRANDMASTER,-,Overhawl,160,128,0.5556,2,55.559999999999995
eun1,GRANDMASTER,-,Paul Säbel,201,167,0.5462,2,54.620000000000005
eun1,GRANDMASTER,-,Ham the Cat,82,60,0.5775,1,57.75
eun1,GRANDMASTER,-,Jhinsu,87,53,0.6214,2,62.13999999999999
eun1,GRANDMASTER,-,Twister,287,249,0.5354,2,53.54
eun1,GRANDMASTER,-,DoWG Whisper,246,217,0.5313,1,53.13
eun1,GRANDMASTER,-,enyav01,752,679,0.5255,2,52.55
eun1,GRANDMASTER,-,catboy veigar,313,255,0.5511,2,55.11000000000001
eun1,GRANDMASTER,-,Leiro,359,340,0.5136,1,51.35999999999999
eun1,GRANDMASTER,-,kocic000,241,218,0.5251,2,52.51
eun1,GRANDMASTER,-,Kiddie,382,359,0.5155,1,51.55
eun1,GRANDMASTER,-,Kanato Kun,172,157,0.5228,2,52.28
eun1,GRANDMASTER,-,Piridacas,430,410,0.5119,2,51.190000000000005
eun1,GRANDMASTER,-,UnExpecteDGanGS,45,30,0.6,2,60.0
eun1,GRANDMASTER,-,DjuMix,133,103,0.5636,1,56.36
eun1,GRANDMASTER,-,TTVlateroviann99,319,288,0.5255,2,52.55
eun1,GRANDMASTER,-,TitusTheRomaboo,140,126,0.5263,1,52.629999999999995
eun1,GRANDMASTER,-,SNAJPA,329,288,0.5332,2,53.32
eun1,GRANDMASTER,-,AnimeForLife,552,541,0.505,1,50.5
eun1,GRANDMASTER,-,Jarminaattori,295,244,0.5473,1,54.730000000000004
eun1,GRANDMASTER,-,izUwU,481,418,0.535,2,53.5
eun1,GRANDMASTER,-,Malding,202,188,0.5179,2,51.790000000000006
eun1,GRANDMASTER,-,VEGANBODYBUILDER,279,266,0.5119,2,51.190000000000005
eun1,GRANDMASTER,-,Lios,586,575,0.5047,2,50.470000000000006
eun1,GRANDMASTER,-,Violet Sapphire,257,224,0.5343,1,53.43
eun1,GRANDMASTER,-,Servantor,202,191,0.514,2,51.4
eun1,GRANDMASTER,-,Àphelioz,302,218,0.5808,2,58.08
eun1,GRANDMASTER,-,Ciko89,203,164,0.5531,2,55.31
eun1,GRANDMASTER,-,OpenLife,386,369,0.5113,2,51.129999999999995
eun1,GRANDMASTER,-,Barbar22,254,215,0.5416,1,54.16
eun1,GRANDMASTER,-,Lagg duo Tank,311,303,0.5065,2,50.64999999999999
eun1,GRANDMASTER,-,InvincibleVayne,246,220,0.5279,2,52.790000000000006
eun1,GRANDMASTER,-,Ur ugly,198,185,0.517,2,51.7
eun1,GRANDMASTER,-,Addicted,215,196,0.5231,2,52.31
eun1,GRANDMASTER,-,Ryofu,115,82,0.5838,1,58.379999999999995
eun1,GRANDMASTER,-,VaasanDaruispala,172,159,0.5196,1,51.959999999999994
eun1,GRANDMASTER,-,BrAcAlA v2,190,187,0.504,2,50.4
eun1,GRANDMASTER,-,Smoko Guwop,177,161,0.5237,2,52.370000000000005
eun1,GRANDMASTER,-,dukealy1,414,365,0.5315,1,53.15
eun1,GRANDMASTER,-,Peachy Baby,162,146,0.526,2,52.6
eun1,GRANDMASTER,-,NaSaNG,97,49,0.6644,1,66.44
eun1,GRANDMASTER,-,Micu1423,86,74,0.5375,2,53.75
eun1,GRANDMASTER,-,Juan Puablo II,130,97,0.5727,1,57.269999999999996
eun1,GRANDMASTER,-,HOTGRILL69,80,64,0.5556,1,55.559999999999995
eun1,GRANDMASTER,-,Roki v2,46,29,0.6133,2,61.33
eun1,GRANDMASTER,-,Hi im Steve 69,577,556,0.5093,2,50.93
eun1,GRANDMASTER,-,Lil DeMon,160,128,0.5556,2,55.559999999999995
eun1,GRANDMASTER,-,Ryûzakî,195,194,0.5013,2,50.129999999999995
eun1,GRANDMASTER,-,TUROP1TAS,353,304,0.5373,2,53.73
eun1,GRANDMASTER,-,Fonsito,189,135,0.5833,2,58.330000000000005
eun1,GRANDMASTER,-,Aquarin,573,559,0.5062,2,50.62
eun1,GRANDMASTER,-,The Moonman,177,142,0.5549,2,55.489999999999995
eun1,GRANDMASTER,-,Japczaan,200,159,0.5571,2,55.71
eun1,GRANDMASTER,-,mentally ilI,443,393,0.5299,2,52.99
eun1,GRANDMASTER,-,Leblanc1Trick,725,663,0.5223,2,52.23
eun1,GRANDMASTER,-,DrownedKing,175,160,0.5224,2,52.239999999999995
eun1,GRANDMASTER,-,ELON MUSK MENTAL,247,230,0.5178,2,51.78
eun1,GRANDMASTER,-,Fish with a fork,439,369,0.5433,2,54.33
eun1,GRANDMASTER,-,6912616,222,199,0.5273,1,52.73
eun1,GRANDMASTER,-,luuki322,209,197,0.5148,1,51.480000000000004
eun1,GRANDMASTER,-,Stara Maui,331,264,0.5563,2,55.63
eun1,GRANDMASTER,-,Gyxos,213,189,0.5299,1,52.99
eun1,GRANDMASTER,-,uzag od yregin,459,387,0.5426,2,54.26
eun1,GRANDMASTER,-,supernati03,342,311,0.5237,2,52.370000000000005
eun1,GRANDMASTER,-,Wings of Exile,350,301,0.5376,2,53.76
eun1,GRANDMASTER,-,Pan Żabol,319,280,0.5326,1,53.26
eun1,GRANDMASTER,-,Arvandii,537,531,0.5028,2,50.28
eun1,GRANDMASTER,-,TGummy,299,281,0.5155,2,51.55
eun1,GRANDMASTER,-,JohnyHalop19,255,201,0.5592,2,55.92
eun1,GRANDMASTER,-,Vïpera,238,227,0.5118,1,51.18000000000001
eun1,GRANDMASTER,-,Zendal,351,298,0.5408,2,54.08
eun1,GRANDMASTER,-,Akshan the fly,379,310,0.5501,2,55.010000000000005
eun1,GRANDMASTER,-,ŽeljkoJoksimović,328,270,0.5485,2,54.85
eun1,GRANDMASTER,-,boxeq,333,324,0.5068,2,50.68
eun1,GRANDMASTER,-,Sol Airlines,190,158,0.546,1,54.6
eun1,GRANDMASTER,-,H9 Pierre,200,160,0.5556,1,55.559999999999995
eun1,GRANDMASTER,-,kdnce ,175,173,0.5029,2,50.29
eun1,GRANDMASTER,-,RipMrAdc,287,205,0.5833,2,58.330000000000005
eun1,GRANDMASTER,-,22 Á Million,372,339,0.5232,1,52.32
eun1,GRANDMASTER,-,Habzz,640,606,0.5136,1,51.35999999999999
eun1,GRANDMASTER,-,PenelopedU,156,97,0.6166,1,61.660000000000004
eun1,GRANDMASTER,-,Kriallan,237,206,0.535,1,53.5
eun1,GRANDMASTER,-,Most Hatèd,360,305,0.5414,2,54.14
eun1,GRANDMASTER,-,κyκy,190,137,0.581,1,58.099999999999994
eun1,GRANDMASTER,-,RLS Chimer,548,506,0.5199,2,51.99
eun1,GRANDMASTER,-,HAHAHAXD,451,359,0.5568,1,55.67999999999999
eun1,GRANDMASTER,-,Modri23,141,117,0.5465,2,54.65
eun1,GRANDMASTER,-,vaggut,215,197,0.5218,2,52.18000000000001
eun1,GRANDMASTER,-,Tibijski E Dymer,345,320,0.5188,2,51.88
eun1,GRANDMASTER,-,Slit master,168,146,0.535,1,53.5
eun1,GRANDMASTER,-,Hamiltøn,156,122,0.5612,2,56.120000000000005
eun1,GRANDMASTER,-,Mädara,423,358,0.5416,1,54.16
eun1,GRANDMASTER,-,sajmonooo,179,147,0.5491,2,54.910000000000004
eun1,GRANDMASTER,-,DisrespectfulL,406,381,0.5159,2,51.59
eun1,GRANDMASTER,-,marioetup,273,240,0.5322,2,53.22
eun1,GRANDMASTER,-,DziubaLoL TwTv,365,337,0.5199,2,51.99
eun1,GRANDMASTER,-,Country Roooads,256,186,0.5792,2,57.92
eun1,GRANDMASTER,-,StrongestMinion9,188,153,0.5513,2,55.13
eun1,GRANDMASTER,-,Maybe tomorrow,366,351,0.5105,1,51.05
eun1,GRANDMASTER,-,Εclipsε,244,228,0.5169,1,51.690000000000005
eun1,GRANDMASTER,-,cadabra,280,256,0.5224,2,52.239999999999995
eun1,GRANDMASTER,-,ξnzzy,386,346,0.5273,2,52.73
eun1,GRANDMASTER,-,Petipino,60,27,0.6897,2,68.97
eun1,GRANDMASTER,-,sejinming,504,479,0.5127,2,51.27
eun1,GRANDMASTER,-,Verious,213,200,0.5157,1,51.57000000000001
eun1,GRANDMASTER,-,Graybrack,197,169,0.5383,2,53.83
eun1,GRANDMASTER,-,FallKnight,196,151,0.5648,2,56.48
eun1,GRANDMASTER,-,GlGACHAD,264,257,0.5067,1,50.67
eun1,GRANDMASTER,-,Draven Boi,180,141,0.5607,2,56.07
eun1,GRANDMASTER,-,Zusoviron,157,109,0.5902,1,59.019999999999996
eun1,MASTER,-,high,189,165,0.5339,2,53.39
eun1,MASTER,-,Dyslexic lvern,149,124,0.5458,2,54.58
eun1,MASTER,-,Captain Asia,233,186,0.5561,2,55.61000000000001
eun1,MASTER,-,Egirl Mage ,302,307,0.4959,2,49.59
